,Unnamed: 0,word,sen1,sen2,sen3,choice1,choice2,choice3,mask_typo,sen1_typo,sen2_typo,sen3_typo
0,0,entomology,"The term labrum is used in zoology, of a lip or lip-like part; in entomology it is applied specifically to the upper lip of an insect, the lower lip being termed labium.",The history of the study of insects is sketched under Entomology.,"Thus the reflection of a person in a mirror is known as his ""image""; in popular usage one person is similarly described as ""the very image"" of another; so in entomology the term is applied in its Latin form imago to an insect which, having passed through its larval stages, has achieved its full typical development.",anatomy,antomology,anatomology,entomoloog,"The term labrum is used in zoology, of a lip or lip-like part; in entomoloog it is applied specifically to the upper lip of an insect, the lower lip being termed labium.",The history of the study of insects is sketched under entomoloog.,"Thus the reflection of a person in a mirror is known as his ""image""; in popular usage one person is similarly described as ""the very image"" of another; so in entomoloog the term is applied in its Latin form imago to an insect which, having passed through its larval stages, has achieved its full typical development."
1,1,cadence,"When their breath returned to a more normal cadence and they were no longer perspiring, they rose to leave.","In expressive language development, children first speak in long unintelligible babbles that mimic the cadence and rhythm of adult speech.",I hear the clink of them at the end of every cadence of the Bible verses ' .,rhythm,accident,ending,caencce,"When their breath returned to a more normal caencce and they were no longer perspiring, they rose to leave.","In expressive language development, children first speak in long unintelligible babbles that mimic the caencce and rhythm of adult speech.",I hear the clink of them at the end of every caencce of the Bible verses ' .
2,2,ample,"The trees have ample room to expand on the water side, and each sends forth its most vigorous branch in that direction.","Rain is very scarce, but the canals supply ample water for cultivation and all other purposes.","Parking is ample but during the summer months, it fills quickly.",many,apple,full,ammplee,"The trees have ammplee room to expand on the water side, and each sends forth its most vigorous branch in that direction.","Rain is very scarce, but the canals supply ammplee water for cultivation and all other purposes.","Parking is ammplee but during the summer months, it fills quickly."
3,3,circumspect,In this situation you need to be very circumspect about claiming interactions.,"But he was certainly a prudent and circumspect ruler of blameless life, possessing, as Arnold of Lubeck (c. 1160-1212) expresses it, ""the sober wisdom of old age even in his tender youth.""",As foreign minister he was cautious and circumspect.,circumference,careful,scupulous,circmspecct,In this situation you need to be very circmspecct about claiming interactions.,"But he was certainly a prudent and circmspecct ruler of blameless life, possessing, as Arnold of Lubeck (c. 1160-1212) expresses it, ""the sober wisdom of old age even in his tender youth.""",As foreign minister he was cautious and circmspecct.
4,4,bilious,"He had what the doctors termed ""bilious fever.""",The vomitus will be greenish (bilious) because it contains bile from the gallbladder.,"Bilious remittent fever occurs in the summer months, and smallpox prevails from November to March.",biliverdin,cholic,ornery,bious,"He had what the doctors termed ""bious fever.""",The vomitus will be greenish (bious) because it contains bile from the gallbladder.,"bious remittent fever occurs in the summer months, and smallpox prevails from November to March."
5,5,abstract,"They had no abstract ideas; in their minds all was concrete, visible and tangible.",Can I have an abstract of the article?,Choose five abstract nouns relating to recent conversational themes.,metaphysical,summary,brief,absttrct,"They had no absttrct ideas; in their minds all was concrete, visible and tangible.",Can I have an absttrct of the article?,Choose five absttrct nouns relating to recent conversational themes.
6,6,dearth,"The next danger was from the people, who were infuriated by the dearth of corn.","Between 1831 and 1842 there were six seasons of dearth, approaching in some places to famine.","Other prophets of the same age speak much of dearth and failure of crops, which in Palestine then as now were aggravated by bad government, and were far more serious to a small and isolated community than they could ever have been to the old kingdom.",shortage,death,drought,deearthh,"The next danger was from the people, who were infuriated by the deearthh of corn.","Between 1831 and 1842 there were six seasons of deearthh, approaching in some places to famine.","Other prophets of the same age speak much of deearthh and failure of crops, which in Palestine then as now were aggravated by bad government, and were far more serious to a small and isolated community than they could ever have been to the old kingdom."
7,7,reprobation,,,,,,,repobaation,,,
8,8,grunt,,,,,,,grn,,,
9,9,stringent,,,,,,,strinentt,,,
10,10,deprecate,,,,,,,deeprcate,,,
11,11,disinter,,,,,,,disitter,,,
12,12,scurry,,,,,,,scuy,,,
13,13,unwieldy,,,,,,,unweld,,,
14,14,mangy,,,,,,,mnggy,,,
15,15,torpor,,,,,,,toopor,,,
16,16,penury,,,,,,,peny,,,
17,17,puerile,,,,,,,pueriie,,,
18,18,subpoena,,,,,,,spoena,,,
19,19,apotheosis,,,,,,,apptheosis,,,
20,20,avow,,,,,,,avvoww,,,
21,21,distract,,,,,,,ditact,,,
22,22,divine,,,,,,,divvinee,,,
23,23,knell,,,,,,,knnelll,,,
24,24,remunerative,,,,,,,remuneraatie,,,
25,25,grimace,,,,,,,gimaace,,,
26,26,inculcate,,,,,,,incullcaate,,,
27,27,zephyr,,,,,,,zephhr,,,
28,28,stygian,,,,,,,syygian,,,
29,29,milieu,,,,,,,miilie,,,
30,30,entrepreneur,,,,,,,entreppreneeur,,,
31,31,sprachgefuhl,,,,,,,srachgeuhl,,,
32,32,gerontology,,,,,,,geonntology,,,
33,33,awl,,,,,,,aawll,,,
34,34,feminophobia,,,,,,,feminopphoia,,,
35,35,plait,,,,,,,pllat,,,
36,36,dawdle,,,,,,,dwle,,,
37,37,decrepit,,,,,,,decreppiit,,,
38,38,resurrect,,,,,,,resurrret,,,
39,39,babouche,,,,,,,bauche,,,
40,40,cordial,,,,,,,cordaal,,,
41,41,atypical,,,,,,,atycal,,,
42,42,austere,,,,,,,auuster,,,
43,43,duplicity,,,,,,,dpicity,,,
44,44,coxcomb,,,,,,,coxcmmb,,,
45,45,exact,,,,,,,ext,,,
46,46,compendium,,,,,,,commpendum,,,
47,47,auxiliary,,,,,,,axiliry,,,
48,48,summation,,,,,,,summmaton,,,
49,49,rebarbative,,,,,,,rearbtive,,,
50,50,sonnet,,,,,,,soneet,,,
51,51,patriarch,,,,,,,patrarcch,,,
52,52,battalion,,,,,,,baattaion,,,
53,53,amputate,,,,,,,ampputaate,,,
54,54,integral,,,,,,,intteggral,,,
55,55,anchor,,,,,,,acchor,,,
56,56,alectryomancy,,,,,,,allectryomaancy,,,
57,57,addle,,,,,,,ale,,,
58,58,gist,,,,,,,giis,,,
59,59,genus,,,,,,,gus,,,
60,60,anecdotage,,,,,,,anecdtag,,,
61,61,listless,,,,,,,litess,,,
62,62,flirt,,,,,,,flliirt,,,
63,63,obtrude,,,,,,,obtrd,,,
64,64,heedless,,,,,,,hedess,,,
65,65,acetic,,,,,,,acec,,,
66,66,dilapidated,,,,,,,diapdated,,,
67,67,aurorean,,,,,,,arorea,,,
68,68,hagiarchy,,,,,,,hagiarcch,,,
69,69,formality,,,,,,,foormalit,,,
70,70,sesquipedalian,,,,,,,sessqupedalian,,,
