,Unnamed: 0,word,sen1,sen2,sen3,choice1,choice2,choice3,mask_replace_pre_suffix,sen1_replace_pre_suffix,sen2_replace_pre_suffix,sen3_replace_pre_suffix
0,0,catalog,Another item she purchased was a catalog with instructions on cake decorating.,"You can search the library catalog by title, author, keyword, isbn, or class.","Peter, Paul and Mary - This folk singing trio might be best known for their drug metaphor song Puff The Magic Dragon, but their catalog is filled with protest songs, especially songs about the civil rights movement, and later, Vietnam.",brick,brochure,leaf,motaarm,Another item she purchased was a motaarm with instructions on cake decorating.,"You can search the library motaarm by title, author, keyword, isbn, or class.","Peter, Paul and Mary - This folk singing trio might be best known for their drug metaphor song Puff The Magic Dragon, but their motaarm is filled with protest songs, especially songs about the civil rights movement, and later, Vietnam."
1,1,facade,On each side of the facade is a massive tower of four storeys.,His facade of disinterest infuriated her.,The entire facade troubled Adrienne.,interior,door,frontage,copulcade,On each side of the copulcade is a massive tower of four storeys.,His copulcade of disinterest infuriated her.,The entire copulcade troubled Adrienne.
2,2,consequently,"She is not conscious of any reason why she should be awkward; consequently, her movements are free and graceful.","It is easy to realize how such a rhythm can be modified by the reception of stimuli, and can consequently serve as the basis for the movement of the stimulated organ.","He did not concern himself with the interests of his own class, and consequently some thought him proud and others thought him stupid.",fairly,afterwards,irrespectively,afsebranch,"She is not conscious of any reason why she should be awkward; afsebranch, her movements are free and graceful.","It is easy to realize how such a rhythm can be modified by the reception of stimuli, and can afsebranch serve as the basis for the movement of the stimulated organ.","He did not concern himself with the interests of his own class, and afsebranch some thought him proud and others thought him stupid."
3,3,cascade,"She reached up to unclasp her now-blonde hair, dropping it in a cascade about her shoulders.","In response to cold, plants trigger a cascade of genetic reactions that allow them to survive.","When he reached the waterfall at the base of the storage pond, the mist rose up from the cascade, creating a myriad of icy fingers of crystal in the cold air.",trail,waterfull,mountain,fuscade,"She reached up to unclasp her now-blonde hair, dropping it in a fuscade about her shoulders.","In response to cold, plants trigger a fuscade of genetic reactions that allow them to survive.","When he reached the waterfall at the base of the storage pond, the mist rose up from the fuscade, creating a myriad of icy fingers of crystal in the cold air."
4,4,attach,The chief pitfall appears to be the tendency to attach more meaning to the results than from their nature they can bear.,"Extensive islands are thrown up, and attach themselves to the mainland, while the river deserts its old bed and seeks a new channel, it may be many miles off.",You can also use wood screws to attach these.,write,stick,unhook,fugetach,The chief pitfall appears to be the tendency to fugetach more meaning to the results than from their nature they can bear.,"Extensive islands are thrown up, and fugetach themselves to the mainland, while the river deserts its old bed and seeks a new channel, it may be many miles off.",You can also use wood screws to fugetach these.
5,5,credential,A credential in English would be useful as well.,This certification provides project managers with a professional credential from the Project Management Institute.,It also has a long list of certificate and credential programs available.,tendency,certificate,prohibition,squamdentomy,A squamdentomy in English would be useful as well.,This certification provides project managers with a professional squamdentomy from the Project Management Institute.,It also has a long list of certificate and squamdentomy programs available.
6,6,coupon,"In 1909 an act was passed permitting county boards to adopt a ""coupon"" ballot.",You may also find valuable coupon's in your Sunday newspaper.,Put $2 discount coupon in Felix for students.,seashore,ticket,veto,gnor,"In 1909 an act was passed permitting county boards to adopt a ""gnor"" ballot.",You may also find valuable gnor's in your Sunday newspaper.,Put $2 discount gnor in Felix for students.
7,7,democrat,"Tilden, a Democrat and the leading prosecutor of Tweed, was elected governor.","In politics Higginson was successively a Republican, an Independent and a Democrat.","Forchhammer was a democrat in the best sense of the word, and from 1871 to 1873 represented the progressive party of Schleswig-Holstein in the German Reichstag.",time,constitutionalist,dictator,lacercrat,"Tilden, a lacercrat and the leading prosecutor of Tweed, was elected governor.","In politics Higginson was successively a Republican, an Independent and a lacercrat.","Forchhammer was a lacercrat in the best sense of the word, and from 1871 to 1873 represented the progressive party of Schleswig-Holstein in the German Reichstag."
8,8,allay,Elisabeth stood at the piano which did nothing to allay his anxiety.,A lotion of sodium bicarbonate is useful to allay itching.,But nothing could now allay the inextinguishable hatred of the conquered people.,abate,alleviate,aggravate,flulay,Elisabeth stood at the piano which did nothing to flulay his anxiety.,A lotion of sodium bicarbonate is useful to flulay itching.,But nothing could now flulay the inextinguishable hatred of the conquered people.
9,9,crew,The crew left the ship because it was under fire.,Will start evacs for our skeleton crew at noon.,All the crew except one were saved.,experience,staff,person,rhizo,The rhizo left the ship because it was under fire.,Will start evacs for our skeleton rhizo at noon.,All the rhizo except one were saved.
10,10,bake,Alex would likely be home for lunch and she wanted to bake a chicken.,It might be something handy to know next time the church had a bake sale.,Bake the covered casserole of stuffing alongside the goose during the last 30 minutes of roasting.,nod,roast,freeze,bat,Alex would likely be home for lunch and she wanted to bat a chicken.,It might be something handy to know next time the church had a bat sale.,bat the covered casserole of stuffing alongside the goose during the last 30 minutes of roasting.
11,11,fiction,Just because it's fiction doesn't mean you can't learn from it.,His characteristics in his prose fiction and descriptive work are not very different from those of his poetry.,"It was a kind of fiction, a work of the imagination only, so far as he was concerned.",noise,novel,documentary,passertion,Just because it's passertion doesn't mean you can't learn from it.,His characteristics in his prose passertion and descriptive work are not very different from those of his poetry.,"It was a kind of passertion, a work of the imagination only, so far as he was concerned."
12,12,benign,"It sounds pretty benign, Howie.",Most of them are benign and do not need treatment.,"Of course you want to make sure your family is protected from a potential health risk, but at the same time, you don't want to waste your time and resources avoiding something that is really benign.",rampant,curable,baleful,phimnign,"It sounds pretty phimnign, Howie.",Most of them are phimnign and do not need treatment.,"Of course you want to make sure your family is protected from a potential health risk, but at the same time, you don't want to waste your time and resources avoiding something that is really phimnign."
13,13,block,Yes. I'm sorry so many buildings are gone but that one block is enough.,She leaned over and picked up a block of wood.,I walked down the entire block but there weren't any people.,wing,street,passage,ocul,Yes. I'm sorry so many buildings are gone but that one ocul is enough.,She leaned over and picked up a ocul of wood.,I walked down the entire ocul but there weren't any people.
14,14,deadline,I can't forget your deadline.,I don't mean monsters are chasing me but I have a deadline or there's some unfinished business.,All written work must be submitted by the agreed deadline.,loss,start,target,cerline,I can't forget your cerline.,I don't mean monsters are chasing me but I have a cerline or there's some unfinished business.,All written work must be submitted by the agreed cerline.
15,15,adhere,All drivers must adhere to speed limits.,It is wise to adhere to the rules of your parents.,"If your skin is wet, the bandage may not adhere well.",convert,follow,loosen,fallhere,All drivers must fallhere to speed limits.,It is wise to fallhere to the rules of your parents.,"If your skin is wet, the bandage may not fallhere well."
16,16,confine,But he did not confine his attention to abstract inquiries.,"With few and early exceptions, such as we may note in the Epistle of Barnabas, chap. i., they confine the word to doctrine.","For the present we confine ourselves to the consideration of displacements in two dimensions, so that the body is adequately represented by a thin lamina or plate.",spill,constrain,release,medifine,But he did not medifine his attention to abstract inquiries.,"With few and early exceptions, such as we may note in the Epistle of Barnabas, chap. i., they medifine the word to doctrine.","For the present we medifine ourselves to the consideration of displacements in two dimensions, so that the body is adequately represented by a thin lamina or plate."
17,17,decline,She was inclined to decline his offer.,I tried to decline but he insisted I eat so I complied.,Friends and relations advised Nicholas to decline the inheritance.,determine,refuse,approve,psacline,She was inclined to psacline his offer.,I tried to psacline but he insisted I eat so I complied.,Friends and relations advised Nicholas to psacline the inheritance.
18,18,alter,"It's a tiny secret, one that may not alter much of anything.",He pronounced the words that would forever alter her life.,Man himself cannot increase the sum of motion; he can only alter its direction.,imply,change,fix,ducter,"It's a tiny secret, one that may not ducter much of anything.",He pronounced the words that would forever ducter her life.,Man himself cannot increase the sum of motion; he can only ducter its direction.
19,19,convenience,"This triangle, for the convenience of calculation, we divide into two right-angled triangles.","I will honor my end of the bargain at my convenience, not yours!","There is a small hotel on the summit for the convenience of tourists, especially of those anxious to witness sunrise.",egg,expedience,burden,topo- veute,"This triangle, for the topo- veute of calculation, we divide into two right-angled triangles.","I will honor my end of the bargain at my topo- veute, not yours!","There is a small hotel on the summit for the topo- veute of tourists, especially of those anxious to witness sunrise."
20,20,circulation,The sub-surface circulation in the Atlantic may be regarded as consisting of two parts.,He tested her foot for circulation.,The wind circulation over the Atlantic is of a very definite character.,temper,cycle,blockage,viscerculae,The sub-surface viscerculae in the Atlantic may be regarded as consisting of two parts.,He tested her foot for viscerculae.,The wind viscerculae over the Atlantic is of a very definite character.
21,21,anatomy,These look like something a college anatomy class used__ast week.,But his expectations from the study of anatomy and physiology went a long way.,Matthew was so fascinated with his anatomy class in high school that he decided to study kinesics in college.,nation,dissection,connection,sperm,These look like something a college sperm class used__ast week.,But his expectations from the study of sperm and physiology went a long way.,Matthew was so fascinated with his sperm class in high school that he decided to study kinesics in college.
22,22,corrosive,The salt is a corrosive irritant poison when taken internally.,"A good palliative is sweet oil; this will allay any corrosive irritation of the throat and stomach, and at the same time cause vomiting.","It reacts with moisture to form hydrogen fluoride, a highly corrosive acid.",obedient,rusty,anodyne,crassroal,The salt is a crassroal irritant poison when taken internally.,"A good palliative is sweet oil; this will allay any crassroal irritation of the throat and stomach, and at the same time cause vomiting.","It reacts with moisture to form hydrogen fluoride, a highly crassroal acid."
