,Unnamed: 0,word,sen1,sen2,sen3,choice1,choice2,choice3,mask_random,sen1_random,sen2_random,sen3_random
0,0,catalog,Another item she purchased was a catalog with instructions on cake decorating.,"You can search the library catalog by title, author, keyword, isbn, or class.","Peter, Paul and Mary - This folk singing trio might be best known for their drug metaphor song Puff The Magic Dragon, but their catalog is filled with protest songs, especially songs about the civil rights movement, and later, Vietnam.",brick,brochure,leaf,mynbiqp,Another item she purchased was a mynbiqp with instructions on cake decorating.,"You can search the library mynbiqp by title, author, keyword, isbn, or class.","Peter, Paul and Mary - This folk singing trio might be best known for their drug metaphor song Puff The Magic Dragon, but their mynbiqp is filled with protest songs, especially songs about the civil rights movement, and later, Vietnam."
1,1,facade,On each side of the facade is a massive tower of four storeys.,His facade of disinterest infuriated her.,The entire facade troubled Adrienne.,interior,door,frontage,escidp,On each side of the escidp is a massive tower of four storeys.,His escidp of disinterest infuriated her.,The entire escidp troubled Adrienne.
2,2,consequently,"She is not conscious of any reason why she should be awkward; consequently, her movements are free and graceful.","It is easy to realize how such a rhythm can be modified by the reception of stimuli, and can consequently serve as the basis for the movement of the stimulated organ.","He did not concern himself with the interests of his own class, and consequently some thought him proud and others thought him stupid.",fairly,afterwards,irrespectively,bcylfjigzvnk,"She is not conscious of any reason why she should be awkward; bcylfjigzvnk, her movements are free and graceful.","It is easy to realize how such a rhythm can be modified by the reception of stimuli, and can bcylfjigzvnk serve as the basis for the movement of the stimulated organ.","He did not concern himself with the interests of his own class, and bcylfjigzvnk some thought him proud and others thought him stupid."
3,3,cascade,"She reached up to unclasp her now-blonde hair, dropping it in a cascade about her shoulders.","In response to cold, plants trigger a cascade of genetic reactions that allow them to survive.","When he reached the waterfall at the base of the storage pond, the mist rose up from the cascade, creating a myriad of icy fingers of crystal in the cold air.",trail,waterfull,mountain,hsreltp,"She reached up to unclasp her now-blonde hair, dropping it in a hsreltp about her shoulders.","In response to cold, plants trigger a hsreltp of genetic reactions that allow them to survive.","When he reached the waterfall at the base of the storage pond, the mist rose up from the hsreltp, creating a myriad of icy fingers of crystal in the cold air."
4,4,attach,The chief pitfall appears to be the tendency to attach more meaning to the results than from their nature they can bear.,"Extensive islands are thrown up, and attach themselves to the mainland, while the river deserts its old bed and seeks a new channel, it may be many miles off.",You can also use wood screws to attach these.,write,stick,unhook,hjdmpe,The chief pitfall appears to be the tendency to hjdmpe more meaning to the results than from their nature they can bear.,"Extensive islands are thrown up, and hjdmpe themselves to the mainland, while the river deserts its old bed and seeks a new channel, it may be many miles off.",You can also use wood screws to hjdmpe these.
5,5,credential,A credential in English would be useful as well.,This certification provides project managers with a professional credential from the Project Management Institute.,It also has a long list of certificate and credential programs available.,tendency,certificate,prohibition,tixluqaohb,A tixluqaohb in English would be useful as well.,This certification provides project managers with a professional tixluqaohb from the Project Management Institute.,It also has a long list of certificate and tixluqaohb programs available.
6,6,coupon,"In 1909 an act was passed permitting county boards to adopt a ""coupon"" ballot.",You may also find valuable coupon's in your Sunday newspaper.,Put $2 discount coupon in Felix for students.,seashore,ticket,veto,zscpib,"In 1909 an act was passed permitting county boards to adopt a ""zscpib"" ballot.",You may also find valuable zscpib's in your Sunday newspaper.,Put $2 discount zscpib in Felix for students.
7,7,democrat,"Tilden, a Democrat and the leading prosecutor of Tweed, was elected governor.","In politics Higginson was successively a Republican, an Independent and a Democrat.","Forchhammer was a democrat in the best sense of the word, and from 1871 to 1873 represented the progressive party of Schleswig-Holstein in the German Reichstag.",time,constitutionalist,dictator,kemubcrd,"Tilden, a kemubcrd and the leading prosecutor of Tweed, was elected governor.","In politics Higginson was successively a Republican, an Independent and a kemubcrd.","Forchhammer was a kemubcrd in the best sense of the word, and from 1871 to 1873 represented the progressive party of Schleswig-Holstein in the German Reichstag."
8,8,allay,Elisabeth stood at the piano which did nothing to allay his anxiety.,A lotion of sodium bicarbonate is useful to allay itching.,But nothing could now allay the inextinguishable hatred of the conquered people.,abate,alleviate,aggravate,hlmeg,Elisabeth stood at the piano which did nothing to hlmeg his anxiety.,A lotion of sodium bicarbonate is useful to hlmeg itching.,But nothing could now hlmeg the inextinguishable hatred of the conquered people.
9,9,crew,The crew left the ship because it was under fire.,Will start evacs for our skeleton crew at noon.,All the crew except one were saved.,experience,staff,person,otli,The otli left the ship because it was under fire.,Will start evacs for our skeleton otli at noon.,All the otli except one were saved.
10,10,bake,Alex would likely be home for lunch and she wanted to bake a chicken.,It might be something handy to know next time the church had a bake sale.,Bake the covered casserole of stuffing alongside the goose during the last 30 minutes of roasting.,nod,roast,freeze,sbnp,Alex would likely be home for lunch and she wanted to sbnp a chicken.,It might be something handy to know next time the church had a sbnp sale.,sbnp the covered casserole of stuffing alongside the goose during the last 30 minutes of roasting.
